"행정구역","2022년10월_계_총인구수","2022년10월_계_연령구간인구수","2022년10월_계_0~4세","2022년10월_계_5~9세","2022년10월_계_10~14세","2022년10월_계_15~19세","2022년10월_계_20~24세","2022년10월_계_25~29세","2022년10월_계_30~34세","2022년10월_계_35~39세","2022년10월_계_40~44세","2022년10월_계_45~49세","2022년10월_계_50~54세","2022년10월_계_55~59세","2022년10월_계_60~64세","2022년10월_계_65~69세","2022년10월_계_70~74세","2022년10월_계_75~79세","2022년10월_계_80~84세","2022년10월_계_85~89세","2022년10월_계_90~94세","2022년10월_계_95~99세","2022년10월_계_100세 이상","2022년10월_남_총인구수","2022년10월_남_연령구간인구수","2022년10월_남_0~4세","2022년10월_남_5~9세","2022년10월_남_10~14세","2022년10월_남_15~19세","2022년10월_남_20~24세","2022년10월_남_25~29세","2022년10월_남_30~34세","2022년10월_남_35~39세","2022년10월_남_40~44세","2022년10월_남_45~49세","2022년10월_남_50~54세","2022년10월_남_55~59세","2022년10월_남_60~64세","2022년10월_남_65~69세","2022년10월_남_70~74세","2022년10월_남_75~79세","2022년10월_남_80~84세","2022년10월_남_85~89세","2022년10월_남_90~94세","2022년10월_남_95~99세","2022년10월_남_100세 이상","2022년10월_여_총인구수","2022년10월_여_연령구간인구수","2022년10월_여_0~4세","2022년10월_여_5~9세","2022년10월_여_10~14세","2022년10월_여_15~19세","2022년10월_여_20~24세","2022년10월_여_25~29세","2022년10월_여_30~34세","2022년10월_여_35~39세","2022년10월_여_40~44세","2022년10월_여_45~49세","2022년10월_여_50~54세","2022년10월_여_55~59세","2022년10월_여_60~64세","2022년10월_여_65~69세","2022년10월_여_70~74세","2022년10월_여_75~79세","2022년10월_여_80~84세","2022년10월_여_85~89세","2022년10월_여_90~94세","2022년10월_여_95~99세","2022년10월_여_100세 이상"
"서울특별시  (1100000000)","9,443,722","9,443,722","230,113","321,436","363,830","387,057","586,313","813,585","753,243","672,960","734,966","720,616","802,675","692,133","717,182","575,264","407,640","303,911","217,309","100,234","34,229","7,725","1,301","4,578,459","4,578,459","118,851","164,382","186,891","197,378","276,433","393,657","376,644","335,895","364,574","355,330","396,738","339,597","342,391","268,452","187,587","135,383","91,925","35,219","9,200","1,651","281","4,865,263","4,865,263","111,262","157,054","176,939","189,679","309,880","419,928","376,599","337,065","370,392","365,286","405,937","352,536","374,791","306,812","220,053","168,528","125,384","65,015","25,029","6,074","1,020"
"서울특별시 종로구 (1111000000)","141,861","141,861","2,548","3,967","4,779","5,370","9,727","12,790","10,530","8,829","9,892","10,263","12,745","11,529","11,310","8,873","6,197","5,214","4,281","2,095","710","181","31","68,601","68,601","1,298","2,004","2,357","2,673","4,365","6,346","5,287","4,317","4,782","4,917","6,350","5,775","5,748","4,400","2,867","2,247","1,784","795","216","62","11","73,260","73,260","1,250","1,963","2,422","2,697","5,362","6,444","5,243","4,512","5,110","5,346","6,395","5,754","5,562","4,473","3,330","2,967","2,497","1,300","494","119","20"
"서울특별시 중구 (1114000000)","120,648","120,648","2,796","3,194","2,978","3,392","7,083","10,659","10,706","9,157","8,846","8,014","10,090","9,391","9,830","8,110","5,711","4,529","3,567","1,745","668","152","30","58,643","58,643","1,428","1,631","1,498","1,683","3,175","5,045","5,290","4,631","4,542","4,041","5,046","4,812","4,939","4,019","2,715","1,939","1,439","538","186","36","10","62,005","62,005","1,368","1,563","1,480","1,709","3,908","5,614","5,416","4,526","4,304","3,973","5,044","4,579","4,891","4,091","2,996","2,590","2,128","1,207","482","116","20"
"서울특별시 용산구 (1117000000)","219,102","219,102","5,536","6,568","6,755","7,576","12,698","19,363","20,431","17,490","17,014","15,698","19,096","16,272","16,279","12,716","8,650","6,835","5,738","3,015","1,099","231","42","105,303","105,303","2,859","3,317","3,429","3,864","5,797","9,107","10,139","8,648","8,499","7,623","9,350","8,024","8,012","6,136","3,941","2,840","2,268","1,056","329","58","7","113,799","113,799","2,677","3,251","3,326","3,712","6,901","10,256","10,292","8,842","8,515","8,075","9,746","8,248","8,267","6,580","4,709","3,995","3,470","1,959","770","173","35"
"서울특별시 성동구 (1120000000)","281,694","281,694","8,717","9,640","8,747","9,871","18,089","24,418","23,196","22,502","22,141","20,256","23,871","21,212","21,719","16,365","11,195","8,868","6,616","3,076","950","204","41","137,075","137,075","4,526","4,894","4,426","4,824","8,701","12,181","11,187","11,207","11,232","10,050","11,685","10,539","10,828","7,802","5,153","3,784","2,697","1,042","260","45","12","144,619","144,619","4,191","4,746","4,321","5,047","9,388","12,237","12,009","11,295","10,909","10,206","12,186","10,673","10,891","8,563","6,042","5,084","3,919","2,034","690","159","29"
"서울특별시 광진구 (1121500000)","337,900","337,900","6,865","9,801","11,586","12,923","24,379","36,355","30,339","24,184","25,008","24,504","28,285","25,080","25,278","19,146","12,950","9,672","7,068","3,134","1,054","247","42","162,844","162,844","3,519","5,056","5,947","6,433","11,127","17,244","15,205","11,978","12,225","12,048","13,723","12,332","12,135","9,074","5,946","4,357","3,050","1,086","287","59","13","175,056","175,056","3,346","4,745","5,639","6,490","13,252","19,111","15,134","12,206","12,783","12,456","14,562","12,748","13,143","10,072","7,004","5,315","4,018","2,048","767","188","29"
"서울특별시 동대문구 (1123000000)","337,273","337,273","8,261","10,587","10,863","12,028","25,994","30,545","25,347","23,356","24,906","23,529","27,211","24,578","26,206","21,437","15,343","12,368","9,062","4,088","1,253","257","54","166,113","166,113","4,152","5,443","5,597","6,005","11,766","15,597","12,986","12,091","12,859","12,097","13,738","12,481","12,885","10,293","7,024","5,424","3,777","1,475","360","52","11","171,160","171,160","4,109","5,144","5,266","6,023","14,228","14,948","12,361","11,265","12,047","11,432","13,473","12,097","13,321","11,144","8,319","6,944","5,285","2,613","893","205","43"
"서울특별시 중랑구 (1126000000)","385,976","385,976","9,191","11,346","11,890","13,073","21,007","31,706","30,865","26,894","28,193","26,686","33,445","32,574","34,757","26,821","18,431","13,541","9,669","4,172","1,356","308","51","189,869","189,869","4,691","5,831","6,075","6,630","10,214","15,374","15,633","13,965","14,864","13,655","16,507","16,111","17,005","12,777","8,613","6,009","4,044","1,467","329","66","9","196,107","196,107","4,500","5,515","5,815","6,443","10,793","16,332","15,232","12,929","13,329","13,031","16,938","16,463","17,752","14,044","9,818","7,532","5,625","2,705","1,027","242","42"
"서울특별시 성북구 (1129000000)","431,581","431,581","10,801","15,460","17,107","19,194","31,926","33,895","29,281","28,717","32,546","33,868","38,739","31,406","31,801","25,442","18,223","14,673","11,330","5,081","1,673","369","49","207,584","207,584","5,595","7,828","8,760","9,675","14,447","16,935","14,688","14,235","16,066","16,496","19,258","15,397","15,086","11,771","8,118","6,240","4,646","1,809","459","65","10","223,997","223,997","5,206","7,632","8,347","9,519","17,479","16,960","14,593","14,482","16,480","17,372","19,481","16,009","16,715","13,671","10,105","8,433","6,684","3,272","1,214","304","39"
"서울특별시 강북구 (1130500000)","294,429","294,429","5,144","7,810","9,379","10,770","17,927","22,292","18,844","17,192","20,454","21,922","26,668","24,257","26,043","21,147","16,331","13,031","9,694","4,013","1,208","262","41","143,000","143,000","2,646","3,997","4,810","5,409","8,344","11,207","9,801","9,079","10,695","11,134","13,237","11,952","12,315","9,807","7,156","5,462","4,006","1,528","350","54","11","151,429","151,429","2,498","3,813","4,569","5,361","9,583","11,085","9,043","8,113","9,759","10,788","13,431","12,305","13,728","11,340","9,175","7,569","5,688","2,485","858","208","30"
